Type of waste,Quantity (kg),Disposal method,Geographic location,Time period
Paper,85,Recycling,Kolkata,2023
Paper,80,Recycling,Luckhnow,2023
Paper,150,Landfill,Bhopal,2022
Plastic,99,Recycling,Bangalore,2023
Plastic,106,Landfill,Delhi,2021
Plastic,97,Recycling,Luckhnow,2021
Organic,127,Composting,Bhubaneshwar,2023
Plastic,86,Recycling,Mumbai,2023
Organic,166,Composting,Pune,2023
Organic,181,Composting,Ahmedabad,2022
Organic,183,Composting,Pune,2023
Plastic,100,Landfill,Delhi,2021
Paper,130,Landfill,Luckhnow,2022
Organic,176,Composting,Ahmedabad,2022
Plastic,111,Recycling,Bangalore,2023
Plastic,102,Recycling,Delhi,2021
Paper,80,Recycling,Luckhnow,2021
Paper,184,Recycling,Kolkata,2023
Organic,146,Composting,Bhubaneshwar,2023
Plastic,178,Recycling,Delhi,2023
Plastic,101,Landfill,Mumbai,2022
Organic,124,Landfill,Bhopal,2023
Plastic,114,Landfill,Delhi,2021
Paper,114,Landfill,Delhi,2021
Organic,196,Composting,Ahmedabad,2023
Plastic,97,Recycling,Mumbai,2023
Plastic,93,Recycling,Bangalore,2021
Plastic,99,Recycling,Mumbai,2021
Organic,160,Composting,Ahmedabad,2023
Plastic,94,Recycling,Bangalore,2023
Organic,200,Composting,Bhubaneshwar,2023
Organic,142,Composting,Bhubaneshwar,2023
Plastic,103,Landfill,Delhi,2022
Paper,83,Recycling,Luckhnow,2023
Plastic,80,Recycling,Bangalore,2023
Paper,154,Landfill,Bhopal,2022
Plastic,183,Landfill,Bhopal,2022
Organic,178,Composting,Pune,2023
Plastic,80,Recycling,Bangalore,2023
Plastic,128,Landfill,Delhi,2022
Paper,95,Recycling,Bhopal,2023
Organic,195,Composting,Ahmedabad,2023
Organic,200,Composting,Bhubaneshwar,2023
Plastic,80,Recycling,Bangalore,2022
Organic,180,Composting,Bhubaneshwar,2023
Plastic,103,Landfill,Delhi,2023
Organic,156,Composting,Ahmedabad,2023
Organic,144,Composting,Bhubaneshwar,2023
Organic,145,Composting,Bhubaneshwar,2023
Paper,95,Landfill,Delhi,2021
Plastic,115,Landfill,Bhopal,2021
Paper,89,Landfill,Bhopal,2021
Plastic,120,Landfill,Delhi,2021
Organic,158,Composting,Luckhnow,2023
Organic,161,Composting,Ahmedabad,2023
Plastic,116,Landfill,Delhi,2023
Paper,84,Recycling,Luckhnow,2023
Organic,175,Composting,Ahmedabad,2023
Paper,181,Recycling,Bhopal,2023
Organic,144,Composting,Bhubaneshwar,2023
Paper,96,Composting,Kolkata,2021
Paper,200,Landfill,Bhopal,2022
Plastic,99,Landfill,Delhi,2021
Plastic,107,Landfill,Bangalore,2021
Plastic,88,Composting,Mumbai,2023
Paper,102,Recycling,Bhopal,2021
Plastic,88,Recycling,Bangalore,2023
Plastic,105,Recycling,Mumbai,2023
Organic,156,Composting,Bhubaneshwar,2023
Plastic,150,Recycling,Bangalore,2023
Organic,170,Composting,Bhubaneshwar,2023
Paper,80,Recycling,Bhopal,2021
Paper,140,Recycling,Kolkata,2022
Paper,85,Recycling,Bangalore,2023
Paper,92,Recycling,Kolkata,2023
Plastic,104,Landfill,Bangalore,2021
Organic,172,Composting,Ahmedabad,2023
Organic,200,Landfill,Delhi,2021
Paper,90,Recycling,Luckhnow,2021
Plastic,88,Landfill,Bangalore,2023
Plastic,103,Recycling,Bangalore,2021
Plastic,128,Recycling,Bhopal,2023
Organic,182,Composting,Ahmedabad,2021
Paper,84,Recycling,Bhopal,2021
Organic,152,Composting,Bhubaneshwar,2023
Organic,181,Composting,Bhubaneshwar,2023
Paper,98,Recycling,Kolkata,2023
Organic,162,Recycling,Ahmedabad,2023
Plastic,80,Recycling,Mumbai,2023
Organic,173,Composting,Ahmedabad,2023
Plastic,106,Recycling,Mumbai,2023
Organic,200,Composting,Bhubaneshwar,2023
Organic,154,Composting,Mumbai,2023
Paper,80,Landfill,Bhopal,2022
Paper,93,Recycling,Mumbai,2023
Paper,89,Landfill,Bhopal,2022
Paper,156,Recycling,Kolkata,2023
Plastic,84,Recycling,Mumbai,2023
Paper,81,Landfill,Bhopal,2022
Plastic,95,Recycling,Bhopal,2022
Organic,158,Composting,Ahmedabad,2022
Organic,169,Composting,Bhubaneshwar,2022
Paper,110,Landfill,Bhopal,2022
Organic,140,Composting,Bhubaneshwar,2023
Paper,97,Landfill,Bhopal,2021
Paper,126,Recycling,Bhopal,2021
Plastic,80,Landfill,Bangalore,2023
Paper,80,Landfill,Kolkata,2022
Plastic,80,Recycling,Kolkata,2023
Plastic,103,Recycling,Bangalore,2023
Organic,153,Composting,Pune,2023
Paper,80,Recycling,Luckhnow,2021
Paper,81,Recycling,Luckhnow,2023
Paper,145,Recycling,Bhopal,2023
Plastic,86,Recycling,Bangalore,2021
Paper,103,Landfill,Bhopal,2022
Organic,167,Composting,Kolkata,2023
Plastic,93,Recycling,Luckhnow,2022
Plastic,159,Recycling,Mumbai,2023
Organic,173,Composting,Ahmedabad,2023
Paper,142,Recycling,Kolkata,2023
Plastic,115,Landfill,Delhi,2022
Paper,99,Recycling,Bhopal,2022
Plastic,96,Landfill,Delhi,2022
Paper,161,Recycling,Kolkata,2023
Plastic,185,Landfill,Delhi,2023
Plastic,90,Recycling,Delhi,2023
Organic,200,Composting,Pune,2022
Plastic,92,Recycling,Bangalore,2023
Paper,97,Recycling,Kolkata,2023
Plastic,101,Recycling,Bangalore,2023
Plastic,89,Recycling,Bangalore,2021
Plastic,100,Recycling,Mumbai,2023
Organic,163,Composting,Bhubaneshwar,2023
Plastic,108,Recycling,Bangalore,2023
Paper,85,Recycling,Luckhnow,2022
Paper,80,Recycling,Luckhnow,2021
Organic,185,Composting,Pune,2022
Plastic,143,Recycling,Luckhnow,2021
Organic,191,Composting,Bhopal,2021
Plastic,91,Recycling,Mumbai,2023
Organic,178,Composting,Ahmedabad,2023
Organic,184,Composting,Ahmedabad,2023
Paper,131,Recycling,Kolkata,2023
Paper,107,Recycling,Bhopal,2023
Plastic,121,Landfill,Delhi,2021
Organic,164,Composting,Ahmedabad,2022
Organic,183,Composting,Pune,2023
Organic,193,Composting,Pune,2022
Paper,101,Landfill,Delhi,2022
Plastic,122,Composting,Kolkata,2023
Organic,169,Composting,Pune,2022
Plastic,141,Recycling,Kolkata,2023
Plastic,97,Recycling,Bangalore,2023
Plastic,93,Recycling,Mumbai,2023
Organic,200,Composting,Pune,2022
Organic,190,Composting,Kolkata,2022
Organic,152,Composting,Ahmedabad,2023
Organic,200,Composting,Pune,2023
Paper,88,Recycling,Delhi,2022
Organic,200,Composting,Pune,2022
Plastic,92,Landfill,Delhi,2021
Plastic,82,Recycling,Bangalore,2023
Organic,139,Composting,Pune,2023
Plastic,80,Recycling,Bangalore,2021
Plastic,95,Landfill,Delhi,2021
Plastic,94,Recycling,Luckhnow,2021
Plastic,80,Recycling,Mumbai,2023
Plastic,98,Landfill,Delhi,2021
Paper,96,Landfill,Bhopal,2022
Organic,152,Composting,Bhubaneshwar,2022
Paper,89,Recycling,Luckhnow,2022
Plastic,91,Recycling,Kolkata,2023
Paper,83,Recycling,Bangalore,2023
Paper,80,Recycling,Kolkata,2023
Paper,80,Landfill,Bhopal,2022
Plastic,133,Recycling,Kolkata,2023
Paper,92,Landfill,Bhopal,2021
Paper,93,Recycling,Mumbai,2023
Plastic,99,Recycling,Delhi,2021
Organic,157,Composting,Bhubaneshwar,2022
Organic,200,Composting,Pune,2022
Organic,155,Composting,Bhubaneshwar,2023
Organic,189,Composting,Ahmedabad,2022
Plastic,107,Recycling,Mumbai,2023
Paper,80,Recycling,Luckhnow,2023
Paper,154,Recycling,Bhopal,2022
Plastic,94,Landfill,Delhi,2021
Plastic,117,Landfill,Delhi,2021
Plastic,84,Recycling,Delhi,2021
Organic,200,Composting,Ahmedabad,2022
Organic,178,Composting,Ahmedabad,2023
Paper,94,Recycling,Kolkata,2023
Plastic,96,Recycling,Bangalore,2023
Organic,185,Composting,Pune,2022
Paper,80,Landfill,Kolkata,2022
Paper,152,Recycling,Kolkata,2023
Plastic,107,Recycling,Bangalore,2021
Plastic,95,Recycling,Bangalore,2023
Plastic,98,Recycling,Kolkata,2023
Paper,100,Landfill,Bhopal,2022
Organic,152,Composting,Pune,2023
Paper,98,Landfill,Bhopal,2021
Organic,179,Composting,Bhubaneshwar,2022
Paper,138,Recycling,Bhopal,2023
Plastic,93,Recycling,Bangalore,2023
Organic,188,Composting,Pune,2022
Paper,94,Landfill,Luckhnow,2023
Organic,142,Composting,Pune,2023
Paper,82,Recycling,Mumbai,2023
Organic,144,Composting,Bhubaneshwar,2023
Plastic,112,Landfill,Delhi,2021
Plastic,81,Recycling,Delhi,2021
Paper,114,Landfill,Delhi,2021
Plastic,96,Recycling,Bangalore,2023
Plastic,101,Recycling,Mumbai,2023
Paper,136,Recycling,Kolkata,2021
Organic,200,Composting,Pune,2023
Organic,130,Composting,Ahmedabad,2023
Paper,89,Recycling,Bhopal,2021
Paper,81,Recycling,Kolkata,2023
Paper,150,Landfill,Bhopal,2021
Organic,175,Composting,Pune,2022
Organic,170,Composting,Delhi,2023
Paper,82,Recycling,Luckhnow,2022
Plastic,86,Landfill,Delhi,2021
Plastic,80,Recycling,Kolkata,2023
Paper,165,Landfill,Mumbai,2023
Organic,100,Composting,Bhubaneshwar,2023
Paper,103,Landfill,Delhi,2021
Organic,154,Composting,Bhubaneshwar,2023
Plastic,90,Landfill,Bangalore,2023
Paper,156,Recycling,Bhopal,2022
Plastic,80,Recycling,Bangalore,2023
Paper,94,Recycling,Luckhnow,2023
Organic,159,Composting,Pune,2022
Organic,163,Composting,Pune,2023
Organic,173,Composting,Ahmedabad,2022
Paper,80,Recycling,Luckhnow,2023
Plastic,182,Composting,Ahmedabad,2023
Plastic,120,Recycling,Delhi,2022
Organic,179,Composting,Ahmedabad,2022
Organic,162,Composting,Bhubaneshwar,2023
Organic,197,Composting,Pune,2022
Paper,80,Recycling,Bhopal,2022
Organic,165,Composting,Pune,2023
Organic,181,Composting,Bangalore,2023
Plastic,88,Recycling,Bangalore,2023
Paper,89,Recycling,Mumbai,2023
Plastic,92,Recycling,Mumbai,2023
Organic,171,Composting,Pune,2022
Plastic,93,Recycling,Luckhnow,2023
Organic,196,Composting,Ahmedabad,2023
Plastic,177,Landfill,Delhi,2022
Plastic,86,Recycling,Kolkata,2023
Organic,170,Composting,Ahmedabad,2022
Plastic,101,Recycling,Mumbai,2021
Paper,81,Recycling,Bangalore,2023
Paper,151,Recycling,Bangalore,2023
Organic,128,Composting,Pune,2023
Organic,173,Composting,Pune,2022
Plastic,102,Landfill,Bhopal,2021
Organic,80,Recycling,Bangalore,2023
Plastic,124,Recycling,Delhi,2023
Paper,83,Recycling,Mumbai,2021
Paper,142,Composting,Kolkata,2023
Organic,179,Landfill,Bhopal,2022
Organic,190,Composting,Pune,2022
Organic,146,Recycling,Bangalore,2023
Organic,171,Composting,Ahmedabad,2023
Organic,167,Composting,Pune,2023
Paper,80,Landfill,Bhopal,2022
Organic,147,Composting,Ahmedabad,2023
Organic,155,Composting,Ahmedabad,2023
Paper,95,Recycling,Bangalore,2023
Paper,162,Recycling,Kolkata,2023
Plastic,83,Recycling,Delhi,2021
Organic,168,Composting,Bangalore,2023
Plastic,102,Landfill,Delhi,2021
Plastic,97,Landfill,Bhopal,2022
Paper,85,Recycling,Bangalore,2023
Organic,190,Composting,Ahmedabad,2023
Plastic,111,Landfill,Bhopal,2021
Organic,149,Composting,Ahmedabad,2023
Paper,118,Landfill,Bhopal,2021
Paper,160,Landfill,Bhopal,2022
Paper,140,Recycling,Mumbai,2023
Organic,154,Composting,Ahmedabad,2022
Plastic,80,Recycling,Bangalore,2023
Plastic,97,Recycling,Bangalore,2023
Plastic,82,Recycling,Bangalore,2023
Paper,91,Recycling,Mumbai,2023
Paper,89,Recycling,Luckhnow,2023
Organic,179,Composting,Pune,2022
Organic,142,Composting,Pune,2022
Paper,105,Recycling,Luckhnow,2021
Plastic,112,Landfill,Delhi,2022
Plastic,120,Landfill,Mumbai,2023
Organic,173,Composting,Bhubaneshwar,2023
Organic,157,Composting,Ahmedabad,2023
Plastic,95,Recycling,Bangalore,2023
Plastic,103,Landfill,Bangalore,2023
Plastic,98,Recycling,Bangalore,2021
Paper,156,Recycling,Kolkata,2023
Plastic,129,Landfill,Bhopal,2021
Organic,189,Composting,Ahmedabad,2023
Organic,196,Composting,Pune,2023
Organic,174,Composting,Ahmedabad,2023
Plastic,81,Landfill,Bangalore,2023
Organic,184,Composting,Pune,2023
Paper,103,Recycling,Bhopal,2022
Organic,164,Composting,Ahmedabad,2023
Plastic,100,Recycling,Mumbai,2023
Plastic,85,Recycling,Mumbai,2021
Plastic,121,Landfill,Delhi,2021
Plastic,88,Landfill,Bhopal,2021
Paper,155,Recycling,Mumbai,2022
Organic,191,Composting,Pune,2022
Organic,164,Composting,Ahmedabad,2022
Organic,199,Composting,Pune,2023
Paper,84,Landfill,Delhi,2022
Organic,179,Composting,Ahmedabad,2023
Plastic,85,Recycling,Bangalore,2023
Organic,154,Composting,Bhubaneshwar,2021
Organic,191,Landfill,Bhopal,2021
Paper,142,Recycling,Kolkata,2023
Plastic,164,Recycling,Delhi,2023
Organic,170,Composting,Ahmedabad,2023
Plastic,114,Recycling,Delhi,2021
Plastic,112,Landfill,Delhi,2021
Plastic,120,Landfill,Bhopal,2021
Plastic,112,Landfill,Bhopal,2021
Paper,92,Recycling,Bhopal,2022
Paper,111,Recycling,Delhi,2023
Organic,200,Composting,Pune,2022
Plastic,117,Landfill,Delhi,2021
Organic,130,Composting,Ahmedabad,2023
Organic,147,Composting,Bhubaneshwar,2022
Organic,175,Composting,Ahmedabad,2023
Organic,192,Composting,Pune,2023
Plastic,125,Landfill,Delhi,2021
Organic,183,Composting,Bhubaneshwar,2022
Organic,176,Composting,Pune,2022
Plastic,133,Recycling,Kolkata,2023
Plastic,182,Landfill,Delhi,2023
Organic,170,Composting,Ahmedabad,2022
Plastic,118,Landfill,Delhi,2021
Organic,200,Composting,Pune,2023
Organic,188,Composting,Ahmedabad,2023
Organic,183,Composting,Ahmedabad,2023
Plastic,98,Recycling,Mumbai,2023
Plastic,115,Recycling,Mumbai,2023
Organic,198,Composting,Ahmedabad,2023
Plastic,151,Recycling,Mumbai,2021
Plastic,92,Landfill,Delhi,2021
Plastic,80,Recycling,Mumbai,2023
Paper,88,Landfill,Bhopal,2021
Organic,176,Composting,Ahmedabad,2023
Organic,147,Composting,Ahmedabad,2022
Organic,191,Composting,Ahmedabad,2023
Organic,200,Composting,Ahmedabad,2022
Plastic,88,Recycling,Mumbai,2023
Plastic,92,Recycling,Mumbai,2023
Paper,99,Recycling,Bhopal,2023
Plastic,104,Landfill,Bhopal,2021
Plastic,107,Landfill,Delhi,2023
Plastic,107,Recycling,Delhi,2021
Organic,197,Composting,Pune,2023
Organic,168,Composting,Bhubaneshwar,2023
Plastic,110,Landfill,Bhopal,2022
Paper,141,Recycling,Luckhnow,2023
Plastic,80,Recycling,Bangalore,2023
Plastic,94,Landfill,Delhi,2021
Plastic,91,Recycling,Mumbai,2021
Organic,199,Composting,Pune,2023
Paper,122,Recycling,Bhopal,2021
Paper,98,Landfill,Bhopal,2022
Paper,87,Recycling,Mumbai,2023
Plastic,160,Landfill,Pune,2022
Paper,90,Recycling,Kolkata,2023
Paper,89,Landfill,Bhopal,2021
Paper,82,Recycling,Bhopal,2022
Organic,171,Composting,Ahmedabad,2023
Plastic,92,Recycling,Mumbai,2023
Plastic,107,Recycling,Mumbai,2023
