Type of waste,Quantity (kg),Disposal method,Geographic location,Time period
Paper,159,Composting,Pimpri-Chinchwad,2020
Plastic,174,Composting,Bhopal,2020
Plastic,166,Composting,Ahmedabad,2020
Organic,205,Composting,Agra,2023
Plastic,83,Composting,Visakhapatnam,2020
Plastic,55,Composting,Nashik,2021
Organic,118,Composting,Ludhiana,2022
Organic,153,Landfill,Ludhiana,2020
Plastic,253,Composting,Nagpur,2021
Organic,106,Recycling,Vadodara,2020
Plastic,136,Recycling,Surat,2023
Organic,175,Recycling,Vadodara,2020
Paper,179,Composting,Mumbai,2020
Paper,229,Landfill,Surat,2021
Paper,260,Recycling,Nagpur,2022
Organic,198,Recycling,Nashik,2022
Organic,93,Recycling,Ahmedabad,2020
Paper,52,Landfill,Ludhiana,2021
Organic,99,Recycling,Delhi,2021
Organic,111,Landfill,Varanasi,2023
Organic,100,Recycling,Patna,2022
Organic,155,Recycling,Lucknow,2020
Organic,228,Recycling,Thane,2020
Paper,264,Recycling,Pune,2023
Plastic,230,Recycling,Vasai-Virar,2023
Organic,160,Recycling,Delhi,2023
Paper,206,Recycling,Rajkot,2020
Paper,65,Recycling,Chennai,2021
Organic,103,Recycling,Lucknow,2020
Organic,228,Recycling,Indore,2020
Organic,263,Composting,Rajkot,2020
Paper,243,Composting,Vasai-Virar,2020
Organic,217,Composting,Surat,2020
Plastic,190,Composting,Thane,2020
Paper,217,Composting,Bhopal,2023
Paper,176,Landfill,Nashik,2020
Paper,214,Composting,Delhi,2020
Plastic,151,Composting,Chennai,2022
Plastic,269,Recycling,Bangalore,2020
Paper,86,Composting,Bhopal,2021
Organic,102,Recycling,Bangalore,2020
Organic,247,Recycling,Kanpur,2020
Plastic,204,Recycling,Meerut,2020
Paper,171,Composting,Ghaziabad,2020
Paper,247,Recycling,Nashik,2020
Paper,52,Composting,Pune,2020
Plastic,181,Recycling,Kanpur,2021
Plastic,52,Landfill,Bhopal,2021
Plastic,52,Composting,Mumbai,2021
Plastic,69,Composting,Mumbai,2021
Organic,52,Recycling,Indore,2020
Organic,221,Recycling,Vasai-Virar,2021
Plastic,64,Recycling,Ahmedabad,2020
Plastic,143,Recycling,Varanasi,2022
Paper,118,Recycling,Chennai,2020
Paper,196,Recycling,Hyderabad,2020
Organic,52,Recycling,Vadodara,2023
Plastic,171,Composting,Jaipur,2020
Plastic,52,Recycling,Chennai,2021
Paper,87,Landfill,Agra,2021
Plastic,52,Landfill,Ahmedabad,2024
Plastic,228,Composting,Meerut,2020
Organic,165,Recycling,Meerut,2020
Paper,196,Composting,Nagpur,2020
Organic,101,Composting,Delhi,2024
Organic,122,Recycling,Kalyan-Dombivli,2023
Paper,168,Recycling,Thane,2022
Organic,234,Recycling,Indore,2021
Organic,238,Composting,Hyderabad,2022
Paper,60,Landfill,Surat,2020
Organic,136,Composting,Indore,2021
Plastic,218,Composting,Nagpur,2022
Organic,100,Recycling,Meerut,2023
Paper,52,Landfill,Indore,2020
Organic,52,Recycling,Chennai,2020
Organic,213,Composting,Pune,2020
Plastic,133,Recycling,Pune,2023
Plastic,52,Recycling,Surat,2022
Organic,184,Recycling,Hyderabad,2021
Organic,52,Landfill,Varanasi,2021
Paper,210,Composting,Thane,2020
Paper,67,Composting,Delhi,2021
Plastic,137,Composting,Ludhiana,2020
Organic,52,Recycling,Vasai-Virar,2022
Plastic,60,Composting,Ghaziabad,2021
Plastic,236,Recycling,Nashik,2020
Organic,71,Composting,Nagpur,2021
Organic,269,Composting,Lucknow,2022
Plastic,185,Recycling,Hyderabad,2024
Plastic,52,Composting,Pune,2023
Paper,124,Composting,Delhi,2020
Plastic,57,Landfill,Chennai,2024
Organic,179,Recycling,Visakhapatnam,2020
Plastic,249,Landfill,Rajkot,2022
Plastic,108,Composting,Agra,2020
Organic,85,Landfill,Meerut,2024
Plastic,224,Recycling,Pune,2022
Plastic,174,Landfill,Kanpur,2020
Organic,116,Composting,Visakhapatnam,2020
Organic,150,Recycling,Pimpri-Chinchwad,2020
Plastic,52,Composting,Kolkata,2022
Organic,71,Composting,Bangalore,2024
Paper,131,Recycling,Jaipur,2022
Plastic,173,Recycling,Agra,2024
Plastic,214,Composting,Kanpur,2021
Organic,291,Composting,Bangalore,2021
Organic,167,Composting,Vadodara,2020
Paper,85,Composting,Ludhiana,2023
Plastic,218,Landfill,Visakhapatnam,2020
Paper,220,Composting,Indore,2020
Plastic,70,Composting,Varanasi,2020
Organic,74,Recycling,Visakhapatnam,2020
Plastic,229,Recycling,Jaipur,2020
Organic,187,Landfill,Visakhapatnam,2020
Organic,199,Recycling,Vadodara,2021
Organic,201,Recycling,Nashik,2023
Paper,130,Recycling,Rajkot,2020
Organic,71,Composting,Nagpur,2020
Paper,107,Composting,Kalyan-Dombivli,2020
Plastic,52,Landfill,Varanasi,2024
Plastic,108,Composting,Varanasi,2023
Organic,244,Recycling,Vasai-Virar,2020
Plastic,278,Recycling,Meerut,2023
Organic,173,Recycling,Visakhapatnam,2020
Organic,70,Recycling,Ludhiana,2023
Plastic,87,Recycling,Pune,2022
Paper,258,Composting,Ludhiana,2021
Paper,220,Composting,Pune,2022
Organic,261,Recycling,Bhopal,2020
Paper,158,Landfill,Chennai,2021
Organic,76,Recycling,Ludhiana,2020
Plastic,174,Composting,Mumbai,2020
Plastic,146,Composting,Ahmedabad,2022
Organic,154,Recycling,Meerut,2020
Organic,198,Recycling,Kalyan-Dombivli,2022
Paper,246,Composting,Agra,2022
Organic,160,Recycling,Bhopal,2020
Paper,239,Landfill,Kolkata,2022
Plastic,210,Composting,Nagpur,2020
Organic,58,Composting,Pune,2020
Paper,191,Composting,Hyderabad,2022
Paper,93,Composting,Rajkot,2021
Plastic,190,Recycling,Vadodara,2020
Plastic,171,Composting,Jaipur,2020
Plastic,115,Composting,Patna,2020
Organic,248,Composting,Agra,2020
Plastic,80,Composting,Pune,2023
Organic,90,Composting,Meerut,2020
Paper,136,Recycling,Vadodara,2020
Organic,131,Composting,Ludhiana,2020
Organic,63,Recycling,Vasai-Virar,2020
Organic,242,Composting,Chennai,2021
Plastic,174,Recycling,Jaipur,2023
Organic,237,Composting,Hyderabad,2023
Plastic,153,Composting,Bangalore,2021
Plastic,192,Composting,Lucknow,2022
Paper,243,Composting,Pune,2020
Organic,166,Composting,Ahmedabad,2020
Organic,269,Composting,Faridabad,2020
Plastic,124,Landfill,Meerut,2020
Organic,172,Composting,Hyderabad,2022
Organic,62,Recycling,Rajkot,2020
Organic,107,Recycling,Ahmedabad,2023
Organic,151,Recycling,Ludhiana,2020
Organic,117,Composting,Kalyan-Dombivli,2023
Organic,142,Recycling,Lucknow,2022
Plastic,291,Composting,Vadodara,2020
Plastic,246,Composting,Vadodara,2020
Organic,146,Recycling,Vasai-Virar,2020
Paper,215,Composting,Ludhiana,2020
Paper,231,Composting,Jaipur,2023
Paper,181,Recycling,Nagpur,2020
Organic,104,Recycling,Indore,2020
Organic,208,Landfill,Rajkot,2021
Paper,174,Landfill,Pune,2021
Organic,256,Composting,Surat,2022
Plastic,112,Recycling,Pune,2020
Plastic,180,Composting,Jaipur,2020
Plastic,220,Composting,Agra,2020
Organic,84,Recycling,Hyderabad,2020
Paper,246,Recycling,Meerut,2020
Plastic,218,Composting,Agra,2022
Paper,107,Recycling,Kolkata,2024
Organic,122,Recycling,Kalyan-Dombivli,2020
Paper,243,Recycling,Kolkata,2022
Plastic,186,Recycling,Vasai-Virar,2020
Organic,215,Recycling,Visakhapatnam,2021
Paper,237,Composting,Meerut,2020
Organic,55,Recycling,Meerut,2023
Organic,107,Recycling,Thane,2022
Paper,88,Composting,Kolkata,2020
Organic,257,Recycling,Agra,2020
Plastic,122,Recycling,Bangalore,2020
Plastic,211,Landfill,Mumbai,2023
Paper,262,Composting,Vadodara,2020
Organic,111,Recycling,Nagpur,2023
Organic,91,Composting,Surat,2020
Paper,285,Composting,Indore,2020
Plastic,74,Recycling,Pune,2020
Plastic,178,Composting,Indore,2020
Plastic,75,Landfill,Pune,2023
Organic,83,Composting,Vasai-Virar,2021
Organic,61,Composting,Surat,2020
Organic,120,Recycling,Bhopal,2020
Organic,131,Recycling,Meerut,2023
Plastic,104,Landfill,Lucknow,2020
Paper,74,Composting,Pune,2020
Organic,96,Recycling,Indore,2020
Plastic,176,Composting,Varanasi,2021
Paper,68,Composting,Mumbai,2020
Paper,228,Composting,Nagpur,2022
Organic,93,Recycling,Chennai,2020
Organic,195,Landfill,Jaipur,2022
Plastic,114,Recycling,Surat,2020
Plastic,139,Recycling,Nashik,2022
Organic,207,Recycling,Lucknow,2020
Organic,238,Recycling,Vadodara,2020
Organic,124,Recycling,Meerut,2020
Plastic,174,Recycling,Pune,2020
Organic,174,Landfill,Nashik,2020
Organic,233,Recycling,Bhopal,2022
Plastic,241,Composting,Bhopal,2020
Plastic,145,Composting,Delhi,2023
Paper,193,Composting,Vadodara,2020
Plastic,226,Composting,Patna,2020
Paper,92,Landfill,Surat,2022
Organic,221,Recycling,Faridabad,2020
Plastic,236,Recycling,Varanasi,2022
Paper,203,Composting,Hyderabad,2022
Organic,225,Recycling,Ahmedabad,2020
Organic,136,Composting,Pune,2022
Organic,282,Composting,Vadodara,2020
Organic,237,Composting,Jaipur,2021
Plastic,171,Recycling,Pimpri-Chinchwad,2020
Plastic,163,Recycling,Kanpur,2020
Plastic,103,Composting,Meerut,2022
Plastic,133,Composting,Patna,2020
Paper,106,Composting,Jaipur,2022
Organic,102,Recycling,Pune,2021
Plastic,129,Composting,Patna,2023
Organic,105,Composting,Patna,2020
Plastic,166,Landfill,Nashik,2021
Paper,103,Recycling,Kalyan-Dombivli,2020
Organic,258,Composting,Ludhiana,2020
Plastic,213,Composting,Thane,2020
Plastic,207,Composting,Kolkata,2020
Plastic,110,Composting,Pune,2020
Paper,200,Composting,Nagpur,2020
Organic,165,Recycling,Vadodara,2023
Paper,71,Landfill,Bhopal,2020
Organic,139,Composting,Nagpur,2020
Organic,141,Recycling,Ghaziabad,2020
Organic,106,Composting,Meerut,2022
Plastic,229,Recycling,Chennai,2022
Organic,165,Composting,Kalyan-Dombivli,2023
Plastic,291,Recycling,Bangalore,2020
Plastic,248,Landfill,Vadodara,2024
Organic,271,Recycling,Patna,2020
Organic,102,Recycling,Rajkot,2022
Paper,282,Composting,Meerut,2020
Plastic,86,Recycling,Nagpur,2023
Plastic,56,Composting,Lucknow,2020
Organic,84,Landfill,Bhopal,2021
Plastic,116,Landfill,Thane,2024
Plastic,186,Composting,Jaipur,2020
Organic,125,Recycling,Rajkot,2020
Organic,120,Recycling,Kalyan-Dombivli,2022
Paper,67,Composting,Visakhapatnam,2020
Paper,52,Composting,Meerut,2020
Organic,275,Recycling,Nagpur,2021
Organic,159,Landfill,Nashik,2021
Paper,234,Recycling,Nagpur,2021
Plastic,61,Composting,Pune,2020
Organic,101,Recycling,Mumbai,2020
Organic,156,Recycling,Ghaziabad,2020
Organic,122,Recycling,Thane,2022
Paper,150,Composting,Pune,2021
Plastic,189,Landfill,Surat,2023
Plastic,52,Landfill,Visakhapatnam,2024
Paper,152,Landfill,Jaipur,2024
Organic,117,Recycling,Rajkot,2020
Organic,189,Recycling,Agra,2020
Plastic,209,Recycling,Varanasi,2020
Organic,170,Recycling,Vadodara,2021
Plastic,178,Landfill,Delhi,2021
Plastic,70,Composting,Patna,2024
Plastic,206,Landfill,Thane,2024
Paper,225,Recycling,Ahmedabad,2020
Paper,143,Recycling,Hyderabad,2020
Plastic,160,Composting,Vadodara,2020
Plastic,225,Composting,Pune,2020
Plastic,82,Composting,Pune,2022
Plastic,185,Composting,Delhi,2020
Plastic,214,Recycling,Surat,2021
Organic,88,Composting,Indore,2023
Organic,75,Recycling,Meerut,2020
Organic,111,Recycling,Thane,2020
Paper,281,Composting,Thane,2020
Paper,72,Recycling,Meerut,2020
Organic,77,Composting,Patna,2020
Plastic,111,Composting,Agra,2020
Plastic,147,Landfill,Rajkot,2023
Plastic,191,Composting,Kolkata,2022
Plastic,214,Composting,Bhopal,2020
Paper,165,Landfill,Bangalore,2023
Plastic,157,Composting,Jaipur,2020
Plastic,68,Landfill,Nagpur,2020
Plastic,126,Composting,Ahmedabad,2023
Organic,109,Recycling,Nashik,2020
Paper,176,Composting,Kolkata,2022
Plastic,153,Recycling,Kanpur,2020
Plastic,91,Composting,Pune,2020
Paper,188,Recycling,Thane,2021
Paper,107,Composting,Meerut,2022
Organic,128,Recycling,Chennai,2020
Plastic,272,Composting,Kolkata,2020
Organic,86,Recycling,Nagpur,2020
Paper,120,Landfill,Meerut,2020
Plastic,203,Composting,Varanasi,2021
Plastic,195,Composting,Kanpur,2022
Paper,142,Recycling,Pimpri-Chinchwad,2020
Paper,198,Composting,Ahmedabad,2020
Organic,204,Composting,Lucknow,2022
Plastic,71,Recycling,Bhopal,2022
Plastic,138,Composting,Kalyan-Dombivli,2023
Plastic,204,Composting,Varanasi,2020
Plastic,114,Landfill,Ahmedabad,2021
Organic,245,Recycling,Jaipur,2020
Paper,72,Composting,Delhi,2020
Organic,244,Recycling,Pune,2020
Organic,89,Landfill,Patna,2024
Plastic,107,Composting,Pune,2020
Organic,145,Recycling,Ludhiana,2020
Plastic,77,Composting,Kolkata,2023
Plastic,210,Recycling,Jaipur,2020
Paper,86,Landfill,Ahmedabad,2020
Plastic,170,Composting,Lucknow,2020
Plastic,205,Recycling,Pune,2020
Plastic,230,Landfill,Hyderabad,2021
Plastic,139,Recycling,Jaipur,2020
Organic,278,Recycling,Bhopal,2020
Paper,137,Composting,Nashik,2022
Organic,240,Recycling,Kalyan-Dombivli,2022
Organic,291,Composting,Bangalore,2020
Organic,214,Recycling,Kalyan-Dombivli,2021
Paper,238,Landfill,Thane,2023
Plastic,92,Composting,Varanasi,2021
Organic,197,Recycling,Jaipur,2020
Plastic,162,Composting,Kolkata,2023
Plastic,248,Landfill,Visakhapatnam,2024
Plastic,139,Recycling,Vasai-Virar,2021
Organic,92,Recycling,Ahmedabad,2020
Organic,55,Composting,Varanasi,2020
Organic,200,Recycling,Varanasi,2020
Organic,218,Composting,Ghaziabad,2020
Plastic,149,Landfill,Lucknow,2022
Paper,224,Recycling,Meerut,2020
Paper,222,Composting,Delhi,2022
Plastic,91,Recycling,Indore,2020
Organic,187,Landfill,Ludhiana,2020
Organic,163,Landfill,Ludhiana,2020
Organic,96,Recycling,Vadodara,2020
Plastic,202,Recycling,Bangalore,2021
Organic,97,Composting,Meerut,2020
Organic,236,Recycling,Visakhapatnam,2021
Paper,52,Composting,Chennai,2020
Plastic,76,Landfill,Rajkot,2022
Plastic,191,Recycling,Nagpur,2022
Plastic,209,Composting,Lucknow,2021
Organic,192,Recycling,Bhopal,2020
Organic,157,Recycling,Ludhiana,2021
Plastic,131,Composting,Hyderabad,2020
Paper,243,Composting,Ghaziabad,2021
Organic,244,Recycling,Vadodara,2020
Organic,173,Recycling,Ludhiana,2020
Organic,257,Composting,Ludhiana,2020
Organic,155,Recycling,Visakhapatnam,2021
Plastic,52,Landfill,Ahmedabad,2020
Organic,246,Landfill,Varanasi,2022
Plastic,127,Composting,Lucknow,2020
Organic,229,Recycling,Ludhiana,2020
Paper,52,Recycling,Surat,2023
Paper,197,Composting,Patna,2020
Paper,159,Composting,Vadodara,2020
Plastic,77,Composting,Vasai-Virar,2021
Paper,122,Composting,Hyderabad,2020
Organic,106,Recycling,Ludhiana,2020
Organic,111,Recycling,Visakhapatnam,2021
Plastic,100,Composting,Pune,2021
Organic,254,Composting,Vasai-Virar,2020
Plastic,178,Composting,Ludhiana,2022
Paper,107,Recycling,Indore,2022
Plastic,206,Composting,Ghaziabad,2020
Organic,59,Composting,Vadodara,2020
Plastic,179,Recycling,Kalyan-Dombivli,2021
Plastic,158,Recycling,Nashik,2023
Plastic,173,Recycling,Vasai-Virar,2022
Organic,291,Composting,Vadodara,2022
Plastic,72,Landfill,Meerut,2024
Plastic,74,Landfill,Chennai,2022
Plastic,156,Composting,Ludhiana,2020
Plastic,208,Recycling,Faridabad,2022
Plastic,272,Composting,Mumbai,2021
Organic,99,Recycling,Visakhapatnam,2020
Plastic,238,Composting,Nagpur,2020
Plastic,211,Composting,Hyderabad,2021
Plastic,180,Composting,Agra,2024
Organic,192,Recycling,Vasai-Virar,2022
Organic,56,Recycling,Kalyan-Dombivli,2020
Organic,251,Recycling,Kolkata,2020
Organic,59,Composting,Meerut,2022
Paper,254,Landfill,Thane,2021
Plastic,202,Composting,Meerut,2020
Plastic,126,Recycling,Vasai-Virar,2021
Plastic,230,Composting,Lucknow,2020
Plastic,221,Composting,Ghaziabad,2022
Organic,266,Recycling,Pimpri-Chinchwad,2021
Plastic,86,Composting,Surat,2020
Plastic,190,Composting,Surat,2022
Organic,217,Recycling,Meerut,2020
Plastic,105,Composting,Vasai-Virar,2020
Organic,159,Recycling,Faridabad,2020
Organic,272,Recycling,Ghaziabad,2021
Plastic,210,Composting,Bhopal,2022
Organic,291,Recycling,Nashik,2021
Organic,117,Composting,Vasai-Virar,2022
Paper,215,Composting,Delhi,2020
Organic,177,Recycling,Faridabad,2020
Organic,81,Composting,Meerut,2020
Organic,170,Landfill,Bhopal,2024
Paper,195,Recycling,Jaipur,2020
